# Part A: Complete Exercise Database (Gym Equipment)

Below is an exhaustive list of the top exercises for each muscle group, with details on muscles targeted, equipment, technique, common errors, cues, goals, and recommended sets/reps/rest by level. **Tables summarize the main programming data (sets–reps–rest) and key notes;** accompanying bullet lists give step-by-step execution, mistakes, and cues. 

### Latissimus Dorsi (Back Width, V-Taper)

| Exercise               | Equipment           | Sets (Beg/Int/Adv)     | Reps (Beg/Int/Adv)    | Rest    | Notes (Primary/Secondary, Goals, Cues)                                              |
- **Advanced Techniques:** Limited in pure strength programs, but some may use *RPE clusters* (e.g. perform single reps with 20–30 s rest to accumulate volume) or *wave loading* (varying reps 3-2-1 each workout). 3-sec eccentrics can build control on assistance lifts. Use occasional speed sets (50–60% 1RM x 2–3 explosively) on squats/bench to train power.  
- **Avoid:** Because goal is strength, avoid high-rep fatigue sets that may impair recovery. Also avoid hypertrophy-only isolation that detract from main lifts (e.g. cable flyes). Keep accessory work purposeful (e.g. tricep extensions, lat pull-downs to strengthen bench/dead).  
- **Deload:** Power athletes often deload every 4–6 weeks or before a meet. A deload week includes 60% intensity with volume reduced by ~50%. For example, perform main lifts at ~50–60% weight for few reps, or cut sets in half, focusing on technique and recovery.

---

## 4. Calisthenics / Bodyweight Only (No Gym)

- **Focus:** Build strength and muscle using only bodyweight and minimal equipment (bars, rings). Emphasize pull-ups, push-ups, dips, and progression variations.  
- **Training Split:** 3–4 day split mixing push, pull, and legs, with skill practice (handstands). Example 4-day:  
  - Day 1: Pull (back, biceps)  
  - Day 2: Push (chest, triceps, shoulders) + core  
  - Day 3: Rest / Active mobility  
  - Day 4: Leg Day (bodyweight squats, lunges, jumps)  
  - Day 5: Core + Handstand work  
  - Day 6–7: Rest / flexibility  

- **Progressions:** Each exercise has easier → harder versions: e.g. negative pull-ups → assisted pull-ups → full pull-ups → weighted pull-ups; knee push-ups → incline push-ups → push-ups → decline/one-arm push-up; assisted handstand → freestanding.  
- **Sample Exercises:** Pull-Ups, Australian Rows, Chin-Ups, Inverted Rows; Dips (parallettes/chairs), Push-Ups (various angles), Pike Push-Ups/Handstand Push-Ups; Pistols (one-leg squats), Jump Squats, Nordic Curls; Planks, L-Sits, Dragon Flags for abs.  
- **Example Full Program (3 days):**  
  - *Day A (Pull/Core):* Australian Row 4×8–12; Pull-Up (assisted/progress) 4×5–10; Chin-Up 3×6–10; Hanging Leg Raise 3×10; Plank 3×60 s.  
  - *Day B (Push/Core):* Push-Up 4×10–15; Dips (chair or parallel) 4×6–12; Pike Push-Up 3×8–10; Diamond Push-Up 2×12; Hollow Hold 3×30 s.  
  - *Day C (Legs/Core):* Bodyweight Squat or Bulgarian Split 4×10–15; Pistol Squat progression 3×5–8; Nordic Ham Curl 3×5–8; Calf Raise (single-leg) 3×12; L-Sit 3×20–30 s.  

  *Alternate push/pull/legs/core across 5–6 days for variety.*  
- **Progressive Overload:** Increase reps, add holds (pauses at bottom/top), increase lever length (harder push-up variations), or add weight (backpack). For strength-endurance, use circuits or EMOM (e.g. 5 push-ups every minute).  
- **Advanced Techniques:** *Archer push-ups, clapping push-ups* (plyometric), *muscle-ups* (advanced pull). Use supersets (e.g. pull/push superset). *Dropsets* via angle adjustment (e.g. do push-ups then immediately do knee push-ups). EMOM or AMRAP sets to push volume.  
- **Exercises to Avoid:** None specifically off-limits; but overweight individuals may strain joints with high-rep plyo initially. Modify instead.  

*(Note: ACSM now acknowledges bodyweight training is highly effective. Focus on technique and gradual progression.)*

---

## 5. Weight Loss / Fat Burning (Muscle-Preserving)

- **Focus:** Maximize caloric burn and preserve muscle. Combine resistance training with metabolic conditioning. Moderate caloric deficit, high-protein diet.  
- **Training Split:** Full-body or upper/lower circuits 3–5x/week. Emphasize compound lifts and circuit training.  
  - **Example 4-day Upper/Lower Split:**  
    - Monday: Full Body Strength  
    - Tuesday: HIIT or MetCon (bodyweight/cardio)  
    - Thursday: Full Body Strength  
    - Friday: HIIT/MetCon or Rest  
    - Sat/Sun: Active recovery (light cardio, mobility)  

- **Weekly Schedule:** e.g., M: Strength, T: HIIT, W: Rest, Th: Strength, F: HIIT, Sa: Active, Su: Rest.  
- **Phase Structure:** 8–12 week blocks. Intensity-based with some variation:  
  - *Phase 1:* Building base strength (3–4 sets of 8–12 on big lifts) and moderate-intensity cardio (20–30 min steady-state).  
  - *Phase 2:* Introduce circuits/supersets to elevate heart rate (e.g., bench→row superset). Start interval training (e.g., 30s sprint/30s rest ×10).  
  - *Phase 3:* Emphasize higher frequency (4–5 days) with mixed lifting and metabolic sets. Include advanced techniques (drop sets, active rest) to increase EPOC.  

- **Daily Workouts:**  
  - *Strength Days (Full Body):* Squat 3×8–10; Bench Press 3×8–10; Bent-Over Row 3×8–10; Overhead Press 3×8–10; Deadlift or Hip Thrust 3×6–8; Plank 3×60 s.  
  - *Circuit Days:* Cycle through 5–6 exercises with minimal rest (e.g., Pull-Up, Push-Up, Jump Squat, Dumbbell Row, Burpees) for 3–4 rounds.  
  - *HIIT:* Sprint intervals (e.g., 10× 30 s sprint/30 s rest) or Tabata bodyweight (push-up, squat, plank).  

- **Progressive Overload:** Even in fat-loss phase, apply double-progression on strength lifts. Track performance (use log or RPE). Increase total volume (e.g. add a set each week) or intensity (less rest).  
- **Advanced Techniques:** **Drop sets, rest-pause, supersets** are especially useful to increase caloric burn (short rests increases EPOC). **Compound supersets** (push/pull exercises back-to-back) maximize efficiency. EMOM circuits (e.g. 5 pull-ups at each minute on the minute for 10 min).  
- **Avoid:** Long steady-state cardio at the expense of lifting; overtraining deficit causing muscle loss. Limit isolation exercises (they burn fewer calories).  
- **Deload:** Similar to others, schedule a light week every 6–8 weeks. Use it for active recovery (yoga, swimming) and fewer lifts. Watch for signs of plateau or excessive fatigue.  

*(E.g., ACSM suggests mixing strength and cardiovascular exercise for fat loss. Maintaining high protein and performing resistance training helps **preserve muscle** during a calorie deficit.)*

---

## 6. Beginner General Fitness (First-Time Gym, No Experience)

- **Focus:** Learn basic movements, build habit, improve strength and endurance safely. Emphasize full-body, lower loads, higher reps for technique practice.  
- **Training Split:** 3× full-body per week (e.g., M/W/F). Use full-body routines to maximize frequency for all muscles.  
- **Weekly Schedule:** Mon/Wed/Fri: Training; other days rest or light activity.  
- **Phase Structure:**  
  - *Phase 1 (Weeks 1–4):* Foundation – 2–3 sets of 12–15 reps, light weights focusing on form. Full body each session (squat, push, pull, core, etc.).  
  - *Phase 2 (Weeks 5–8):* Progressive – 3–4 sets
